language,rank,headword,english_definition,english_translation,lemma,frequency,frequency_unit,pos,pronunciation,romanization,source,source_id,source_quality,milestone,word_unit,source_rank,annotation_source,translation_lemma,translation_method,translation_quality,translation_source,definition_lemma,definition_method,definition_source
es,3953,borrachera,"drunkenness; binge, bender, spree (act of consuming a large quantity)","drunkenness; binge, bender, spree (act of consuming a large quantity)",,2,count,,,,https://www.lllf.uam.es/ESP/Corlec.html,corlec_nonbroadcast_conversation,measured_spoken,5000,word_form,,,borrachera,wiktionary_headword,dictionary_gloss,https://kaikki.org/dictionary/Spanish/,borrachera,source_dictionary_gloss,https://kaikki.org/dictionary/Spanish/
es,3954,borracho,"drunk, inebriated; boozy (containing alcohol); drunkard","drunk, inebriated; boozy (containing alcohol); drunkard",,2,count,,,,https://www.lllf.uam.es/ESP/Corlec.html,corlec_nonbroadcast_conversation,measured_spoken,5000,word_form,,,borracho,wiktionary_headword,dictionary_gloss,https://kaikki.org/dictionary/Spanish/,borracho,source_dictionary_gloss,https://kaikki.org/dictionary/Spanish/
es,3955,bostezo,first-person singular present indicative of bostezar; yawn (the action of yawning),first-person singular present indicative of bostezar; yawn (the action of yawning),,2,count,,,,https://www.lllf.uam.es/ESP/Corlec.html,corlec_nonbroadcast_conversation,measured_spoken,5000,word_form,,,bostezo,wiktionary_headword,dictionary_gloss,https://kaikki.org/dictionary/Spanish/,bostezo,source_dictionary_gloss,https://kaikki.org/dictionary/Spanish/
es,3956,botes,second-person singular present subjunctive of botar; plural of bote,second-person singular present subjunctive of botar; plural of bote,,2,count,,,,https://www.lllf.uam.es/ESP/Corlec.html,corlec_nonbroadcast_conversation,measured_spoken,5000,word_form,,,botar,wiktionary_headword,dictionary_gloss,https://kaikki.org/dictionary/Spanish/,botar,source_dictionary_gloss,https://kaikki.org/dictionary/Spanish/
es,3957,brando,,,,2,count,,,,https://www.lllf.uam.es/ESP/Corlec.html,corlec_nonbroadcast_conversation,measured_spoken,5000,word_form,,,,,,,,,
es,3958,brasero,"brazier, heater; camp stove","brazier, heater; camp stove",,2,count,,,,https://www.lllf.uam.es/ESP/Corlec.html,corlec_nonbroadcast_conversation,measured_spoken,5000,word_form,,,brasero,wiktionary_headword,dictionary_gloss,https://kaikki.org/dictionary/Spanish/,brasero,source_dictionary_gloss,https://kaikki.org/dictionary/Spanish/
es,3959,brasil,"brazil, brazilwood","brazil, brazilwood",,2,count,,,,https://www.lllf.uam.es/ESP/Corlec.html,corlec_nonbroadcast_conversation,measured_spoken,5000,word_form,,,brasil,wiktionary_headword,dictionary_gloss,https://kaikki.org/dictionary/Spanish/,brasil,source_dictionary_gloss,https://kaikki.org/dictionary/Spanish/
es,3960,brasileña,feminine singular of brasileño; female equivalent of brasileño,feminine singular of brasileño; female equivalent of brasileño,,2,count,,,,https://www.lllf.uam.es/ESP/Corlec.html,corlec_nonbroadcast_conversation,measured_spoken,5000,word_form,,,brasileño,wiktionary_headword,dictionary_gloss,https://kaikki.org/dictionary/Spanish/,brasileño,source_dictionary_gloss,https://kaikki.org/dictionary/Spanish/
es,3961,brazos,plural of brazo,plural of brazo,,2,count,,,,https://www.lllf.uam.es/ESP/Corlec.html,corlec_nonbroadcast_conversation,measured_spoken,5000,word_form,,,brazo,wiktionary_headword,dictionary_gloss,https://kaikki.org/dictionary/Spanish/,brazo,source_dictionary_gloss,https://kaikki.org/dictionary/Spanish/
es,3962,brevemente,briefly,briefly,,2,count,,,,https://www.lllf.uam.es/ESP/Corlec.html,corlec_nonbroadcast_conversation,measured_spoken,5000,word_form,,,brevemente,wiktionary_headword,dictionary_gloss,https://kaikki.org/dictionary/Spanish/,brevemente,source_dictionary_gloss,https://kaikki.org/dictionary/Spanish/
es,3963,bridge,bridge (card game),bridge (card game),,2,count,,,,https://www.lllf.uam.es/ESP/Corlec.html,corlec_nonbroadcast_conversation,measured_spoken,5000,word_form,,,bridge,wiktionary_headword,dictionary_gloss,https://kaikki.org/dictionary/Spanish/,bridge,source_dictionary_gloss,https://kaikki.org/dictionary/Spanish/
es,3964,brigitte,,,,2,count,,,,https://www.lllf.uam.es/ESP/Corlec.html,corlec_nonbroadcast_conversation,measured_spoken,5000,word_form,,,,,,,,,
es,3965,bronce,bronze,bronze,,2,count,,,,https://www.lllf.uam.es/ESP/Corlec.html,corlec_nonbroadcast_conversation,measured_spoken,5000,word_form,,,bronce,wiktionary_headword,dictionary_gloss,https://kaikki.org/dictionary/Spanish/,bronce,source_dictionary_gloss,https://kaikki.org/dictionary/Spanish/
es,3966,bronquiolos,plural of bronquiolo,plural of bronquiolo,,2,count,,,,https://www.lllf.uam.es/ESP/Corlec.html,corlec_nonbroadcast_conversation,measured_spoken,5000,word_form,,,bronquiolo,wiktionary_headword,dictionary_gloss,https://kaikki.org/dictionary/Spanish/,bronquiolo,source_dictionary_gloss,https://kaikki.org/dictionary/Spanish/
es,3967,bruto,"ignorant, stupid; uncouth, clumsy; gross (total, excluding deductions); brute","ignorant, stupid; uncouth, clumsy; gross (total, excluding deductions); brute",,2,count,,,,https://www.lllf.uam.es/ESP/Corlec.html,corlec_nonbroadcast_conversation,measured_spoken,5000,word_form,,,bruto,wiktionary_headword,dictionary_gloss,https://kaikki.org/dictionary/Spanish/,bruto,source_dictionary_gloss,https://kaikki.org/dictionary/Spanish/
es,3968,buenísima,feminine singular of buenísimo,feminine singular of buenísimo,,2,count,,,,https://www.lllf.uam.es/ESP/Corlec.html,corlec_nonbroadcast_conversation,measured_spoken,5000,word_form,,,buenísimo,wiktionary_headword,dictionary_gloss,https://kaikki.org/dictionary/Spanish/,buenísimo,source_dictionary_gloss,https://kaikki.org/dictionary/Spanish/
es,3969,burra,"feminine singular of burro; female equivalent of burro: jenny, jenny-ass, she-ass; bicycle","feminine singular of burro; female equivalent of burro: jenny, jenny-ass, she-ass; bicycle",,2,count,,,,https://www.lllf.uam.es/ESP/Corlec.html,corlec_nonbroadcast_conversation,measured_spoken,5000,word_form,,,burra,wiktionary_headword,dictionary_gloss,https://kaikki.org/dictionary/Spanish/,burra,source_dictionary_gloss,https://kaikki.org/dictionary/Spanish/
es,3970,burro,"stupid, foolish; brutish; horny; well-endowed","stupid, foolish; brutish; horny; well-endowed",,2,count,,,,https://www.lllf.uam.es/ESP/Corlec.html,corlec_nonbroadcast_conversation,measured_spoken,5000,word_form,,,burro,wiktionary_headword,dictionary_gloss,https://kaikki.org/dictionary/Spanish/,burro,source_dictionary_gloss,https://kaikki.org/dictionary/Spanish/
es,3971,buscado,past participle of buscar,past participle of buscar,,2,count,,,,https://www.lllf.uam.es/ESP/Corlec.html,corlec_nonbroadcast_conversation,measured_spoken,5000,word_form,,,buscar,wiktionary_headword,dictionary_gloss,https://kaikki.org/dictionary/Spanish/,buscar,source_dictionary_gloss,https://kaikki.org/dictionary/Spanish/
es,3972,buscarla,infinitive of buscar combined with la; grass warbler,infinitive of buscar combined with la; grass warbler,,2,count,,,,https://www.lllf.uam.es/ESP/Corlec.html,corlec_nonbroadcast_conversation,measured_spoken,5000,word_form,,,buscarla,wiktionary_headword,dictionary_gloss,https://kaikki.org/dictionary/Spanish/,buscarla,source_dictionary_gloss,https://kaikki.org/dictionary/Spanish/
es,3973,busco,first-person singular present indicative of buscar,first-person singular present indicative of buscar,,2,count,,,,https://www.lllf.uam.es/ESP/Corlec.html,corlec_nonbroadcast_conversation,measured_spoken,5000,word_form,,,buscar,wiktionary_headword,dictionary_gloss,https://kaikki.org/dictionary/Spanish/,buscar,source_dictionary_gloss,https://kaikki.org/dictionary/Spanish/
