language,rank,headword,english_definition,english_translation,lemma,frequency,frequency_unit,pos,pronunciation,romanization,source,source_id,source_quality,milestone,word_unit,source_rank,annotation_source,translation_lemma,translation_method,translation_quality,translation_source,definition_lemma,definition_method,definition_source
yue,4087,耐唔耐,occasionally; every now and then,occasionally; every now and then,,1,count,d,,noi6m4noi2,https://github.com/fcbond/hkcancor,hkcancor_spontaneous_conversation,measured_spoken,5000,segmented_word,,https://github.com/fcbond/hkcancor,耐唔耐,cc_canto_headword,dictionary_gloss,https://cc-canto.org/,耐唔耐,source_dictionary_gloss,https://cc-canto.org/
yue,4088,耳根清靜,,,,1,count,i,,ji5gan1cing1zing6,https://github.com/fcbond/hkcancor,hkcancor_spontaneous_conversation,measured_spoken,5000,segmented_word,,https://github.com/fcbond/hkcancor,,,,,,,
yue,4089,耳環,earring,earring,,1,count,n,,ji5waan2,https://github.com/fcbond/hkcancor,hkcancor_spontaneous_conversation,measured_spoken,5000,segmented_word,,https://github.com/fcbond/hkcancor,耳环,cc_cedict_shared_written_form_proxy,shared_written_form_proxy,https://www.mdbg.net/chinese/dictionary?page=cc-cedict,耳环,source_dictionary_gloss,https://www.mdbg.net/chinese/dictionary?page=cc-cedict
yue,4090,聖靈,Holy Ghost; Holy Spirit,Holy Ghost; Holy Spirit,,1,count,n,,sing3ling4,https://github.com/fcbond/hkcancor,hkcancor_spontaneous_conversation,measured_spoken,5000,segmented_word,,https://github.com/fcbond/hkcancor,圣灵,cc_cedict_shared_written_form_proxy,shared_written_form_proxy,https://www.mdbg.net/chinese/dictionary?page=cc-cedict,圣灵,source_dictionary_gloss,https://www.mdbg.net/chinese/dictionary?page=cc-cedict
yue,4091,聚集,to assemble; to gather,to assemble; to gather,,1,count,v,,zeoi6zaap6,https://github.com/fcbond/hkcancor,hkcancor_spontaneous_conversation,measured_spoken,5000,segmented_word,,https://github.com/fcbond/hkcancor,聚集,cc_cedict_shared_written_form_proxy,shared_written_form_proxy,https://www.mdbg.net/chinese/dictionary?page=cc-cedict,聚集,source_dictionary_gloss,https://www.mdbg.net/chinese/dictionary?page=cc-cedict
yue,4092,聯絡人,(Tw) contact person,(Tw) contact person,,1,count,n,,lyun4lok6jan4,https://github.com/fcbond/hkcancor,hkcancor_spontaneous_conversation,measured_spoken,5000,segmented_word,,https://github.com/fcbond/hkcancor,联络人,cc_cedict_shared_written_form_proxy,shared_written_form_proxy,https://www.mdbg.net/chinese/dictionary?page=cc-cedict,联络人,source_dictionary_gloss,https://www.mdbg.net/chinese/dictionary?page=cc-cedict
yue,4093,職員,office worker; staff member,office worker; staff member,,1,count,n,,zik1jyun4,https://github.com/fcbond/hkcancor,hkcancor_spontaneous_conversation,measured_spoken,5000,segmented_word,,https://github.com/fcbond/hkcancor,职员,cc_cedict_shared_written_form_proxy,shared_written_form_proxy,https://www.mdbg.net/chinese/dictionary?page=cc-cedict,职员,source_dictionary_gloss,https://www.mdbg.net/chinese/dictionary?page=cc-cedict
yue,4094,職業,occupation; profession; vocation; professional,occupation; profession; vocation; professional,,1,count,n,,zik1jip6,https://github.com/fcbond/hkcancor,hkcancor_spontaneous_conversation,measured_spoken,5000,segmented_word,,https://github.com/fcbond/hkcancor,职业,cc_cedict_shared_written_form_proxy,shared_written_form_proxy,https://www.mdbg.net/chinese/dictionary?page=cc-cedict,职业,source_dictionary_gloss,https://www.mdbg.net/chinese/dictionary?page=cc-cedict
yue,4095,聽乞米,,,,1,count,l,,ting3haak1mai5,https://github.com/fcbond/hkcancor,hkcancor_spontaneous_conversation,measured_spoken,5000,segmented_word,,https://github.com/fcbond/hkcancor,,,,,,,
yue,4096,聽嘢,,,,1,count,v,,teng1je5,https://github.com/fcbond/hkcancor,hkcancor_spontaneous_conversation,measured_spoken,5000,segmented_word,,https://github.com/fcbond/hkcancor,,,,,,,
